restaurantNumber,restaurantName,latitude,longitude
2665,High Point Main St.,35.985396,-80.025322
2550,High Point NC,36.032697,-79.958374
2940,Danville VA,36.6221,-79.3996
918,Drew Station,38.643201,-90.565038
2939,Charlotte Northlake,35.348791,-80.857763
904,Wendover,36.05578,-79.904119
3445,Dawsonville,34.3491,-84.04928
905,Ellisville,38.592191,-90.584468
558,Bluemound Road,43.035385,-88.104546
1820,Anderson SC,34.552487,-82.678131
1112,Tosa Mayfair,43.068244,-88.048692
940,Battleground,36.091473,-79.814201
2880,Concord Mills,35.371145,-80.722987
618,Brookfield Capitol,43.085529,-88.067712
2233,Concord Parkway,35.437973,-80.605539
1911,UNC Greensboro,36.067436,-79.805177
2607,Gainesville GA,34.303285,-83.858625
798,Barracks Road,38.04916,-78.503662
1874,Charlotte University,35.31327,-80.743226
920,OFallon,38.780679,-90.699027
3138,City Park Tyvola,35.181912,-80.927962
3125,Charlotte Belgate Center,35.316072,-80.700035
3453,Uptown on Tryon,35.22564,-80.84556
2199,Canton Marketplace,34.236698,-84.456328
857,South End,35.207437,-80.860255
1584,Charlotte Midtown,35.213717,-80.833475
2406,Pantops,38.029028,-78.44392
3095,Whitehall,35.139213,-80.935513
2516,Menomonee Falls,43.18753,-88.12781
991,Cotswold,35.170955,-80.807433
1629,Logan Town Center Altoona,40.488756,-78.386659
1826,Southpark Mall Food Court,35.152858,-80.832689
2262,Cumming Market Place Highway 20,34.181199,-84.133121
1110,Winchester,39.161875,-78.168029
2521,Carolina Place Mall Food Court,35.082322,-80.877287
2513,Janesville,42.723734,-88.995163
1510,Hwy 51 @ Carmel,35.088065,-80.850922
1007,Matthews,35.124711,-80.708134
2453,Charlotte StoneCrest,35.061239,-80.814391
3337,Burlington NC,36.07242,-79.493489
428,Windward,34.09084,-84.27492
2751,Waverly,35.052562,-80.768411
459,John's Creek,34.067433,-84.169294
932,Mall of Georgia,34.073164,-83.984773
1906,Alpharetta North Point,34.051774,-84.286286
374,Roswell,34.0436,-84.341502
3378,Sandy Plains 2,34.037215,-84.461032
2706,Kennesaw State,34.035452,-84.573604
2995,Suwanee,34.034396,-84.052234
2629,Martinsburg,39.445938,-77.987837
2914,Duluth Sugarloaf Parkway,34.021459,-84.120335
1972,Ernest Barrett Parkway,34.003846,-84.579238
1464,Marietta East Cobb,33.980164,-84.424608
1652,Norcross,33.980139,-84.21714
1674,Moline,41.470701,-90.479684
909,Lawrenceville,33.967151,-84.02244
379,Gwinnett,33.955267,-84.131162
3289,Sugarloaf Crossing,33.958736,-84.055084
2221,Culpeper,38.485197,-77.967244
3134,Monroe NC,35.009568,-80.563305
667,Perimeter Mall,33.927932,-84.344195
2100,Perimeter Mall Food Court,33.923804,-84.341154
477,Sandy Springs,33.916322,-84.379567
3210,Jimmy Carter Blvd,33.908274,-84.205655
2713,Chamblee,33.884534,-84.31582
576,Cumberland,33.880957,-84.461281
2471,Chastain Park,33.881,-84.380146
1700,Davenport 53rd and Elmore,41.573157,-90.529315
1598,Athens Alps,33.947371,-83.408834
2278,Snellville President Commons,33.882375,-84.010552
3501,Austell,33.856339,-84.599753
391,Buckhead North,33.848164,-84.374189
2775,Tucker,33.851625,-84.210044
2215,Lenox Mall Food Court,33.846674,-84.361939
1628,Warrenton,38.729048,-77.799506
1717,Lavista Northlake,33.845894,-84.256033
3469,Loganville,33.846189,-83.908273
1009,Hagerstown,39.659689,-77.744704
485,Toco Hills,33.814719,-84.310156
3512,Cullman,34.154128,-86.84123
1866,Howell Mill Rd,33.810169,-84.41306
3007,Purcellville,39.1352,-77.707
2106,South Buckhead,33.80134,-84.392548
3145,West Midtown Atlanta,33.79101,-84.407109
1760,Emory Village,33.788626,-84.326656
